"year","region","division","state","estimate"
1988,"South","East South Central","Alabama",20100
1992,"South","East South Central","Alabama",17720
1996,"South","East South Central","Alabama",14940
2000,"South","East South Central","Alabama",13060
2005,"South","East South Central","Alabama",10840
2006,"South","East South Central","Alabama",10980
2007,"South","East South Central","Alabama",11130
2008,"South","East South Central","Alabama",11020
2009,"South","East South Central","Alabama",10530
2010,"South","East South Central","Alabama",10030
2011,"South","East South Central","Alabama",9600
2012,"South","East South Central","Alabama",8920
2013,"South","East South Central","Alabama",8230
2014,"South","East South Central","Alabama",8310
2015,"South","East South Central","Alabama",8150
2016,"South","East South Central","Alabama",7920
2017,"South","East South Central","Alabama",7660
1988,"West","Pacific","Alaska",2700
1992,"West","Pacific","Alaska",2800
1996,"West","Pacific","Alaska",2310
2000,"West","Pacific","Alaska",1900
2005,"West","Pacific","Alaska",2130
2006,"West","Pacific","Alaska",2060
2007,"West","Pacific","Alaska",2000
2008,"West","Pacific","Alaska",1960
2009,"West","Pacific","Alaska",2040
2010,"West","Pacific","Alaska",2120
2011,"West","Pacific","Alaska",2030
2012,"West","Pacific","Alaska",1890
2013,"West","Pacific","Alaska",1740
2014,"West","Pacific","Alaska",1640
2015,"West","Pacific","Alaska",1540
2016,"West","Pacific","Alaska",1450
2017,"West","Pacific","Alaska",1420
1988,"West","Mountain","Arizona",22200
1992,"West","Mountain","Arizona",21200
1996,"West","Mountain","Arizona",20120
2000,"West","Mountain","Arizona",18410
2005,"West","Mountain","Arizona",19710
2006,"West","Mountain","Arizona",18850
2007,"West","Mountain","Arizona",17990
2008,"West","Mountain","Arizona",19770
2009,"West","Mountain","Arizona",17480
2010,"West","Mountain","Arizona",15190
2011,"West","Mountain","Arizona",16270
2012,"West","Mountain","Arizona",15040
2013,"West","Mountain","Arizona",13820
2014,"West","Mountain","Arizona",13240
2015,"West","Mountain","Arizona",13640
2016,"West","Mountain","Arizona",14040
2017,"West","Mountain","Arizona",13270
1988,"South","West South Central","Arkansas",7860
1992,"South","West South Central","Arkansas",8690
1996,"South","West South Central","Arkansas",6680
2000,"South","West South Central","Arkansas",5880
2005,"South","West South Central","Arkansas",5200
2006,"South","West South Central","Arkansas",5450
2007,"South","West South Central","Arkansas",5690
2008,"South","West South Central","Arkansas",5710
2009,"South","West South Central","Arkansas",5630
2010,"South","West South Central","Arkansas",5490
2011,"South","West South Central","Arkansas",5210
2012,"South","West South Central","Arkansas",5010
2013,"South","West South Central","Arkansas",4810
2014,"South","West South Central","Arkansas",4350
2015,"South","West South Central","Arkansas",3930
2016,"South","West South Central","Arkansas",3590
2017,"South","West South Central","Arkansas",3710
1988,"West","Pacific","California",311440
1992,"West","Pacific","California",303850
1996,"West","Pacific","California",237870
2000,"West","Pacific","California",235670
2005,"West","Pacific","California",206260
2006,"West","Pacific","California",213550
2007,"West","Pacific","California",220840
2008,"West","Pacific","California",211930
2009,"West","Pacific","California",200720
2010,"West","Pacific","California",189110
2011,"West","Pacific","California",177360
2012,"West","Pacific","California",170420
2013,"West","Pacific","California",163550
2014,"West","Pacific","California",156690
2015,"West","Pacific","California",148000
2016,"West","Pacific","California",139320
2017,"West","Pacific","California",131380
1988,"West","Mountain","Colorado",17550
1992,"West","Mountain","Colorado",18410
1996,"West","Mountain","Colorado",16670
2000,"West","Mountain","Colorado",12950
2005,"West","Mountain","Colorado",14720
2006,"West","Mountain","Colorado",14990
2007,"West","Mountain","Colorado",15160
2008,"West","Mountain","Colorado",14920
2009,"West","Mountain","Colorado",14330
2010,"West","Mountain","Colorado",13730
2011,"West","Mountain","Colorado",13130
2012,"West","Mountain","Colorado",12400
2013,"West","Mountain","Colorado",11660
2014,"West","Mountain","Colorado",11760
2015,"West","Mountain","Colorado",11410
2016,"West","Mountain","Colorado",11050
2017,"West","Mountain","Colorado",11100
1988,"Northeast","New England","Connecticut",24470
1992,"Northeast","New England","Connecticut",20100
1996,"Northeast","New England","Connecticut",16510
2000,"Northeast","New England","Connecticut",15460
2005,"Northeast","New England","Connecticut",17340
2006,"Northeast","New England","Connecticut",17580
2007,"Northeast","New England","Connecticut",17730
2008,"Northeast","New England","Connecticut",17210
2009,"Northeast","New England","Connecticut",16350
2010,"Northeast","New England","Connecticut",15480
2011,"Northeast","New England","Connecticut",14630
2012,"Northeast","New England","Connecticut",13900
2013,"Northeast","New England","Connecticut",13360
2014,"Northeast","New England","Connecticut",13280
2015,"Northeast","New England","Connecticut",12770
2016,"Northeast","New England","Connecticut",12260
2017,"Northeast","New England","Connecticut",11950
1988,"South","South Atlantic","Delaware",4570
1992,"South","South Atlantic","Delaware",4620
1996,"South","South Atlantic","Delaware",2970
2000,"South","South Atlantic","Delaware",3920
2005,"South","South Atlantic","Delaware",4140
2006,"South","South Atlantic","Delaware",4990
2007,"South","South Atlantic","Delaware",5850
2008,"South","South Atlantic","Delaware",5650
2009,"South","South Atlantic","Delaware",5520
2010,"South","South Atlantic","Delaware",5380
2011,"South","South Atlantic","Delaware",4690
2012,"South","South Atlantic","Delaware",4010
2013,"South","South Atlantic","Delaware",3340
2014,"South","South Atlantic","Delaware",3200
2015,"South","South Atlantic","Delaware",3040
2016,"South","South Atlantic","Delaware",2880
2017,"South","South Atlantic","Delaware",2770
1988,"South","South Atlantic","District of Columbia",13830
1992,"South","South Atlantic","District of Columbia",11040
1996,"South","South Atlantic","District of Columbia",5620
2000,"South","South Atlantic","District of Columbia",5750
2005,"South","South Atlantic","District of Columbia",6390
2006,"South","South Atlantic","District of Columbia",5900
2007,"South","South Atlantic","District of Columbia",5400
2008,"South","South Atlantic","District of Columbia",5880
2009,"South","South Atlantic","District of Columbia",4970
2010,"South","South Atlantic","District of Columbia",4060
2011,"South","South Atlantic","District of Columbia",3400
2012,"South","South Atlantic","District of Columbia",3570
2013,"South","South Atlantic","District of Columbia",3740
2014,"South","South Atlantic","District of Columbia",3800
2015,"South","South Atlantic","District of Columbia",3330
2016,"South","South Atlantic","District of Columbia",2870
2017,"South","South Atlantic","District of Columbia",3930
1988,"South","South Atlantic","Florida",75820
1992,"South","South Atlantic","Florida",77320
1996,"South","South Atlantic","Florida",90160
2000,"South","South Atlantic","Florida",96000
2005,"South","South Atlantic","Florida",85360
2006,"South","South Atlantic","Florida",86980
2007,"South","South Atlantic","Florida",88600
2008,"South","South Atlantic","Florida",86310
2009,"South","South Atlantic","Florida",84150
2010,"South","South Atlantic","Florida",82020
2011,"South","South Atlantic","Florida",79890
2012,"South","South Atlantic","Florida",76730
2013,"South","South Atlantic","Florida",73560
2014,"South","South Atlantic","Florida",72630
2015,"South","South Atlantic","Florida",69390
2016,"South","South Atlantic","Florida",66150
2017,"South","South Atlantic","Florida",68640
1988,"South","South Atlantic","Georgia",35320
