"month","region","division","state","percentile","estimate"
2023-01-15,"West","Pacific","Alaska",0.05,120
2023-01-15,"West","Pacific","Alaska",0.25,120
2023-01-15,"West","Pacific","Alaska",0.5,120
2023-01-15,"West","Pacific","Alaska",0.75,120
2023-01-15,"West","Pacific","Alaska",0.95,120
2023-02-15,"West","Pacific","Alaska",0.05,130
2023-02-15,"West","Pacific","Alaska",0.25,130
2023-02-15,"West","Pacific","Alaska",0.5,130
2023-02-15,"West","Pacific","Alaska",0.75,130
2023-02-15,"West","Pacific","Alaska",0.95,130
2023-03-15,"West","Pacific","Alaska",0.05,130
2023-03-15,"West","Pacific","Alaska",0.25,130
2023-03-15,"West","Pacific","Alaska",0.5,130
2023-03-15,"West","Pacific","Alaska",0.75,130
2023-03-15,"West","Pacific","Alaska",0.95,130
2023-04-15,"West","Pacific","Alaska",0.05,100
2023-04-15,"West","Pacific","Alaska",0.25,100
2023-04-15,"West","Pacific","Alaska",0.5,100
2023-04-15,"West","Pacific","Alaska",0.75,100
2023-04-15,"West","Pacific","Alaska",0.95,100
2023-05-15,"West","Pacific","Alaska",0.05,150
2023-05-15,"West","Pacific","Alaska",0.25,150
2023-05-15,"West","Pacific","Alaska",0.5,150
2023-05-15,"West","Pacific","Alaska",0.75,150
2023-05-15,"West","Pacific","Alaska",0.95,150
2023-06-15,"West","Pacific","Alaska",0.05,130
2023-06-15,"West","Pacific","Alaska",0.25,130
2023-06-15,"West","Pacific","Alaska",0.5,130
2023-06-15,"West","Pacific","Alaska",0.75,130
2023-06-15,"West","Pacific","Alaska",0.95,130
2023-07-15,"West","Pacific","Alaska",0.05,140
2023-07-15,"West","Pacific","Alaska",0.25,140
2023-07-15,"West","Pacific","Alaska",0.5,140
2023-07-15,"West","Pacific","Alaska",0.75,140
2023-07-15,"West","Pacific","Alaska",0.95,140
2023-08-15,"West","Pacific","Alaska",0.05,140
2023-08-15,"West","Pacific","Alaska",0.25,140
2023-08-15,"West","Pacific","Alaska",0.5,140
2023-08-15,"West","Pacific","Alaska",0.75,140
2023-08-15,"West","Pacific","Alaska",0.95,140
