year,Category,Alabama,Alaska,Arizona,Arkansas,California**,Canada,Colorado,Connecticut,Delaware,District of Columbia,District of Columbia**,Florida,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Mexico,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Jersey**,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Other foreign country,Out-of-area (exact residence unknown),Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Tennessee**,Texas,Unknown residence,US Territory,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2012,NA,8380,1755,13404,4284,335,84,9120,11868,3519,228,NA,NA,457,28079,2826,1943,40646,9800,4127,3935,5367,8488,1002,993,17430,510,23059,10160,5485,10954,1830,2138,6765,53,23357,NA,3677,101674,21122,1022,24985,5117,8408,NA,3735,35125,3015,10396,752,12865,NA,66349,83289,NA,3155,1197,22141,18273,2026,7796,658
2013,NA,7863,1525,13441,3938,341,74,9175,10490,2973,1263,NA,NA,367,27521,1957,1811,37897,9239,3862,3885,5004,9491,1887,1510,18693,403,25781,9429,5137,10340,1653,2076,5692,87,22160,NA,3912,95143,19908,899,23108,5009,7778,NA,3022,32554,2752,9798,738,11895,NA,61812,76110,NA,3033,1169,21227,17475,1973,7415,600
2014,NA,7893,1647,12914,4024,246,100,9453,10625,2920,1407,NA,NA,365,26563,2011,1767,33918,9765,3766,3779,4923,9416,1939,1677,18630,191,26646,9533,5104,8935,1504,2098,7870,82,24454,NA,3655,93984,21385,1009,21650,4808,7683,NA,3438,32683,2581,9774,755,10987,NA,54401,76002,NA,2905,1161,20444,17583,1884,7014,642
2015,NA,6618,1459,12644,3805,324,83,8975,9888,2889,1424,NA,NA,354,26835,2042,1695,35237,9546,3676,3637,4585,8515,1743,723,17959,256,26283,9234,4699,8636,1433,1893,6760,158,23224,NA,3496,88762,23066,976,21215,4813,7847,NA,5340,32025,2348,11032,659,10361,NA,54194,75525,NA,3123,1121,18501,17230,1736,6731,599
2016,NA,6986,1408,13358,3432,310,48,7363,9954,2517,NA,152,NA,376,29631,2479,1725,33311,9501,3467,3484,4586,8243,1937,670,17294,281,25572,9425,4708,9036,1503,1784,6873,187,24563,NA,3502,82841,23168,955,20790,4409,8230,NA,5545,30954,2223,10773,664,10523,NA,53567,72059,NA,2956,1131,16913,17140,1637,6633,493
2017,NA,7381,1395,12541,3659,373,NA,7902,9498,2429,1449,NA,66650,NA,28730,2258,1746,33493,10062,3228,3467,4715,8190,1883,1893,18133,236,26034,9539,4770,8668,1480,1857,7018,208,21647,NA,3330,78364,22767,961,20718,4625,7885,490,5847,29812,2725,10730,681,9865,NA,53237,1769,NA,2900,1004,16235,17116,1743,6863,458
2018,NA,7928,1373,12588,3551,347,NA,NA,9063,2498,1786,NA,68105,NA,29790,2115,1769,37287,9633,2993,3570,4675,7735,1880,2382,18162,287,25735,9214,4945,9312,1551,1950,8406,192,23047,NA,3110,73188,23166,959,20618,4811,8221,444,4795,29900,2625,10820,627,10358,NA,55120,780,NA,3075,1004,17495,17063,1747,7313,477
2019,NA,7891,1354,13231,3357,344,NA,8056,9098,2724,1516,NA,70154,NA,31950,1971,1902,39101,9887,3509,3623,4701,7745,1912,2359,18334,112,26126,9348,4967,9266,1420,1880,8049,279,22625,NA,3007,74889,23578,931,20618,4634,8179,298,4329,30571,1967,11058,668,10422,NA,57168,1511,NA,2936,961,16605,17126,1541,7524,513
2020,NA,8607,1261,13435,3340,398,NA,8598,8880,2884,1433,NA,71197,NA,32892,1792,2048,36438,10250,3755,3713,4685,7738,1965,2609,16033,54,28283,9704,4607,9980,1584,2103,8240,230,22710,NA,2960,60158,25269,953,21388,3553,6627,94,5106,31646,2403,11385,579,2148,NA,56084,12644,NA,2438,1025,16205,16673,1415,7560,534
2021,NA,9646,1284,14174,4173,354,NA,10003,9879,2641,1335,NA,75370,NA,36975,2162,2018,40368,11281,3504,4041,5503,7740,1809,2645,16033,NA,28753,9428,5781,11225,1588,2195,8289,239,NA,1399,2849,60076,27545,1002,22803,4379,6807,100,5774,31513,2017,12632,657,11611,NA,56031,1756,NA,3212,832,16281,16017,1724,7862,625
