state,2019,2020,median_2023,lowerbound_2023,upperbound_2023,difference_in_number_of_abortions,difference_in_number_of_abortions_lower_bound,difference_in_number_of_abortions_upper_bound,percent_change,percent_change_lower_bound,percent_change_upper_bound,source,note,publishdate
US,916460,930160,1026690,1015520,1040010,96530,85360,109850,10%,9%,12%,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",2024-03-19
AK,1320,1240,1530,1510,1550,290,270,310,23%,22%,25%,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",2024-03-19
AZ,13020,13320,11950,11390,13300,-1370,-1930,-20,-10%,-14%,0%,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",2024-03-19
CA,150660,154060,178420,174100,184600,24360,20040,30540,16%,13%,20%,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",2024-03-19
CO,12410,13420,24690,23990,25880,11270,10570,12460,84%,79%,93%,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",2024-03-19
CT,11990,11170,14520,14330,14980,3350,3160,3810,30%,28%,34%,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",2024-03-19
DC,9900,9410,9160,8090,11210,-250,-1320,1800,-3%,-14%,19%,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",2024-03-19
DE,2040,1830,3450,3400,3500,1620,1570,1670,89%,86%,92%,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",2024-03-19
FL,72210,77400,86340,81930,91920,8940,4530,14520,12%,6%,19%,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",2024-03-19
GA,39980,41620,32580,30010,36600,-9040,-11610,-5020,-22%,-28%,-12%,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",2024-03-19
