"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	4805
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	4718
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	4825
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	4527
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	4802
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	5047
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	5043
	"Alabama"	"01"	"2016"	"2016"	"August"	"8"	5325
	"Alabama"	"01"	"2016"	"2016"	"September"	"9"	5239
	"Alabama"	"01"	"2016"	"2016"	"October"	"10"	4973
	"Alabama"	"01"	"2016"	"2016"	"November"	"11"	4910
	"Alabama"	"01"	"2016"	"2016"	"December"	"12"	4937
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	4937
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	4497
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	4809
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	4383
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	4763
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	4823
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	5053
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	5539
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	5211
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	5061
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	4969
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	4896
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	4902
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	4342
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	4761
	"Alabama"	"01"	"2018"	"2018"	"April"	"4"	4393
	"Alabama"	"01"	"2018"	"2018"	"May"	"5"	4785
	"Alabama"	"01"	"2018"	"2018"	"June"	"6"	4768
	"Alabama"	"01"	"2018"	"2018"	"July"	"7"	4936
	"Alabama"	"01"	"2018"	"2018"	"August"	"8"	5275
	"Alabama"	"01"	"2018"	"2018"	"September"	"9"	4816
	"Alabama"	"01"	"2018"	"2018"	"October"	"10"	5003
	"Alabama"	"01"	"2018"	"2018"	"November"	"11"	4819
	"Alabama"	"01"	"2018"	"2018"	"December"	"12"	4961
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	5036
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	4399
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	4531
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	4535
	"Alabama"	"01"	"2019"	"2019"	"May"	"5"	4807
	"Alabama"	"01"	"2019"	"2019"	"June"	"6"	4470
	"Alabama"	"01"	"2019"	"2019"	"July"	"7"	5068
	"Alabama"	"01"	"2019"	"2019"	"August"	"8"	5460
	"Alabama"	"01"	"2019"	"2019"	"September"	"9"	5228
	"Alabama"	"01"	"2019"	"2019"	"October"	"10"	5205
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	4770
	"Alabama"	"01"	"2019"	"2019"	"December"	"12"	5106
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	4955
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	4449
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	4775
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	4567
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	4510
	"Alabama"	"01"	"2020"	"2020"	"June"	"6"	4799
	"Alabama"	"01"	"2020"	"2020"	"July"	"7"	5224
	"Alabama"	"01"	"2020"	"2020"	"August"	"8"	5201
	"Alabama"	"01"	"2020"	"2020"	"September"	"9"	5001
	"Alabama"	"01"	"2020"	"2020"	"October"	"10"	4777
	"Alabama"	"01"	"2020"	"2020"	"November"	"11"	4484
	"Alabama"	"01"	"2020"	"2020"	"December"	"12"	4905
	"Alabama"	"01"	"2021"	"2021"	"January"	"1"	4553
	"Alabama"	"01"	"2021"	"2021"	"February"	"2"	4385
	"Alabama"	"01"	"2021"	"2021"	"March"	"3"	4756
	"Alabama"	"01"	"2021"	"2021"	"April"	"4"	4519
	"Alabama"	"01"	"2021"	"2021"	"May"	"5"	4512
	"Alabama"	"01"	"2021"	"2021"	"June"	"6"	4930
	"Alabama"	"01"	"2021"	"2021"	"July"	"7"	5154
	"Alabama"	"01"	"2021"	"2021"	"August"	"8"	5172
	"Alabama"	"01"	"2021"	"2021"	"September"	"9"	5147
	"Alabama"	"01"	"2021"	"2021"	"October"	"10"	4968
	"Alabama"	"01"	"2021"	"2021"	"November"	"11"	4900
	"Alabama"	"01"	"2021"	"2021"	"December"	"12"	5058
	"Alabama"	"01"	"2022"	"2022"	"January"	"1"	4808
	"Alabama"	"01"	"2022"	"2022"	"February"	"2"	4383
	"Alabama"	"01"	"2022"	"2022"	"March"	"3"	4806
	"Alabama"	"01"	"2022"	"2022"	"April"	"4"	4456
	"Alabama"	"01"	"2022"	"2022"	"May"	"5"	4588
	"Alabama"	"01"	"2022"	"2022"	"June"	"6"	4709
	"Alabama"	"01"	"2022"	"2022"	"July"	"7"	5006
	"Alabama"	"01"	"2022"	"2022"	"August"	"8"	5494
	"Alabama"	"01"	"2022"	"2022"	"September"	"9"	5053
	"Alabama"	"01"	"2022"	"2022"	"October"	"10"	4839
	"Alabama"	"01"	"2022"	"2022"	"November"	"11"	4919
	"Alabama"	"01"	"2022"	"2022"	"December"	"12"	5088
	"Alaska"	"02"	"2016"	"2016"	"January"	"1"	938
	"Alaska"	"02"	"2016"	"2016"	"February"	"2"	840
	"Alaska"	"02"	"2016"	"2016"	"March"	"3"	967
	"Alaska"	"02"	"2016"	"2016"	"April"	"4"	912
	"Alaska"	"02"	"2016"	"2016"	"May"	"5"	955
	"Alaska"	"02"	"2016"	"2016"	"June"	"6"	980
	"Alaska"	"02"	"2016"	"2016"	"July"	"7"	955
	"Alaska"	"02"	"2016"	"2016"	"August"	"8"	957
	"Alaska"	"02"	"2016"	"2016"	"September"	"9"	951
	"Alaska"	"02"	"2016"	"2016"	"October"	"10"	958
	"Alaska"	"02"	"2016"	"2016"	"November"	"11"	897
	"Alaska"	"02"	"2016"	"2016"	"December"	"12"	899
	"Alaska"	"02"	"2017"	"2017"	"January"	"1"	796
	"Alaska"	"02"	"2017"	"2017"	"February"	"2"	783
	"Alaska"	"02"	"2017"	"2017"	"March"	"3"	906
	"Alaska"	"02"	"2017"	"2017"	"April"	"4"	867
	"Alaska"	"02"	"2017"	"2017"	"May"	"5"	895
	"Alaska"	"02"	"2017"	"2017"	"June"	"6"	896
	"Alaska"	"02"	"2017"	"2017"	"July"	"7"	911
	"Alaska"	"02"	"2017"	"2017"	"August"	"8"	929
	"Alaska"	"02"	"2017"	"2017"	"September"	"9"	934
	"Alaska"	"02"	"2017"	"2017"	"October"	"10"	864
	"Alaska"	"02"	"2017"	"2017"	"November"	"11"	806
	"Alaska"	"02"	"2017"	"2017"	"December"	"12"	858
	"Alaska"	"02"	"2018"	"2018"	"January"	"1"	819
	"Alaska"	"02"	"2018"	"2018"	"February"	"2"	769
	"Alaska"	"02"	"2018"	"2018"	"March"	"3"	895
	"Alaska"	"02"	"2018"	"2018"	"April"	"4"	841
	"Alaska"	"02"	"2018"	"2018"	"May"	"5"	875
	"Alaska"	"02"	"2018"	"2018"	"June"	"6"	874
	"Alaska"	"02"	"2018"	"2018"	"July"	"7"	814
	"Alaska"	"02"	"2018"	"2018"	"August"	"8"	934
	"Alaska"	"02"	"2018"	"2018"	"September"	"9"	798
	"Alaska"	"02"	"2018"	"2018"	"October"	"10"	875
	"Alaska"	"02"	"2018"	"2018"	"November"	"11"	778
	"Alaska"	"02"	"2018"	"2018"	"December"	"12"	814
	"Alaska"	"02"	"2019"	"2019"	"January"	"1"	774
