"month","region","division","state","percentile","estimate"
2023-01-15,"West","Pacific","Alaska",0.5,120
2023-02-15,"West","Pacific","Alaska",0.5,130
2023-03-15,"West","Pacific","Alaska",0.5,130
2023-04-15,"West","Pacific","Alaska",0.5,100
2023-05-15,"West","Pacific","Alaska",0.5,150
2023-06-15,"West","Pacific","Alaska",0.5,130
2023-07-15,"West","Pacific","Alaska",0.5,140
2023-08-15,"West","Pacific","Alaska",0.5,140
2023-09-15,"West","Pacific","Alaska",0.5,110
2023-10-15,"West","Pacific","Alaska",0.5,150
2023-11-15,"West","Pacific","Alaska",0.5,130
2023-12-15,"West","Pacific","Alaska",0.5,100
2023-01-15,"West","Mountain","Arizona",0.5,970
2023-02-15,"West","Mountain","Arizona",0.5,830
2023-03-15,"West","Mountain","Arizona",0.5,1020
2023-04-15,"West","Mountain","Arizona",0.5,930
2023-05-15,"West","Mountain","Arizona",0.5,940
2023-06-15,"West","Mountain","Arizona",0.5,970
2023-07-15,"West","Mountain","Arizona",0.5,1060
2023-08-15,"West","Mountain","Arizona",0.5,1120
2023-09-15,"West","Mountain","Arizona",0.5,1120
2023-10-15,"West","Mountain","Arizona",0.5,1090
2023-11-15,"West","Mountain","Arizona",0.5,990
2023-12-15,"West","Mountain","Arizona",0.5,900
2023-01-15,"West","Pacific","California",0.5,15980
2023-02-15,"West","Pacific","California",0.5,14150
2023-03-15,"West","Pacific","California",0.5,16140
2023-04-15,"West","Pacific","California",0.5,14840
2023-05-15,"West","Pacific","California",0.5,15710
2023-06-15,"West","Pacific","California",0.5,15130
2023-07-15,"West","Pacific","California",0.5,14250
2023-08-15,"West","Pacific","California",0.5,15510
2023-09-15,"West","Pacific","California",0.5,14120
2023-10-15,"West","Pacific","California",0.5,14150
2023-11-15,"West","Pacific","California",0.5,13840
2023-12-15,"West","Pacific","California",0.5,14630
2023-01-15,"West","Mountain","Colorado",0.5,2200
2023-02-15,"West","Mountain","Colorado",0.5,2030
2023-03-15,"West","Mountain","Colorado",0.5,2270
2023-04-15,"West","Mountain","Colorado",0.5,2040
2023-05-15,"West","Mountain","Colorado",0.5,2230
2023-06-15,"West","Mountain","Colorado",0.5,2140
2023-07-15,"West","Mountain","Colorado",0.5,2040
2023-08-15,"West","Mountain","Colorado",0.5,2110
2023-09-15,"West","Mountain","Colorado",0.5,1860
2023-10-15,"West","Mountain","Colorado",0.5,1990
2023-11-15,"West","Mountain","Colorado",0.5,1970
2023-12-15,"West","Mountain","Colorado",0.5,1800
2023-01-15,"Northeast","New England","Connecticut",0.5,1220
2023-02-15,"Northeast","New England","Connecticut",0.5,1110
2023-03-15,"Northeast","New England","Connecticut",0.5,1380
2023-04-15,"Northeast","New England","Connecticut",0.5,1190
2023-05-15,"Northeast","New England","Connecticut",0.5,1200
2023-06-15,"Northeast","New England","Connecticut",0.5,1140
2023-07-15,"Northeast","New England","Connecticut",0.5,1150
2023-08-15,"Northeast","New England","Connecticut",0.5,1270
2023-09-15,"Northeast","New England","Connecticut",0.5,1150
2023-10-15,"Northeast","New England","Connecticut",0.5,1280
2023-11-15,"Northeast","New England","Connecticut",0.5,1180
2023-12-15,"Northeast","New England","Connecticut",0.5,1260
2023-01-15,"South","South Atlantic","District of Columbia",0.5,810
2023-02-15,"South","South Atlantic","District of Columbia",0.5,760
2023-03-15,"South","South Atlantic","District of Columbia",0.5,930
2023-04-15,"South","South Atlantic","District of Columbia",0.5,810
2023-05-15,"South","South Atlantic","District of Columbia",0.5,830
2023-06-15,"South","South Atlantic","District of Columbia",0.5,750
2023-07-15,"South","South Atlantic","District of Columbia",0.5,800
2023-08-15,"South","South Atlantic","District of Columbia",0.5,800
2023-09-15,"South","South Atlantic","District of Columbia",0.5,660
2023-10-15,"South","South Atlantic","District of Columbia",0.5,680
2023-11-15,"South","South Atlantic","District of Columbia",0.5,650
2023-12-15,"South","South Atlantic","District of Columbia",0.5,660
2023-01-15,"South","South Atlantic","Delaware",0.5,290
2023-02-15,"South","South Atlantic","Delaware",0.5,260
2023-03-15,"South","South Atlantic","Delaware",0.5,320
2023-04-15,"South","South Atlantic","Delaware",0.5,280
2023-05-15,"South","South Atlantic","Delaware",0.5,310
2023-06-15,"South","South Atlantic","Delaware",0.5,310
2023-07-15,"South","South Atlantic","Delaware",0.5,280
2023-08-15,"South","South Atlantic","Delaware",0.5,320
2023-09-15,"South","South Atlantic","Delaware",0.5,260
