"Notes"	"State of Residence"	"State of Residence Code"	"County of Residence"	"County of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"January"	"1"	196
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"February"	"2"	155
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"March"	"3"	198
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"April"	"4"	171
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"May"	"5"	193
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"June"	"6"	209
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"July"	"7"	230
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"August"	"8"	269
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"September"	"9"	244
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"October"	"10"	224
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"November"	"11"	197
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2022"	"2022"	"December"	"12"	247
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"January"	"1"	105
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"February"	"2"	109
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"March"	"3"	118
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"April"	"4"	90
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"May"	"5"	101
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"June"	"6"	111
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"July"	"7"	117
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"August"	"8"	122
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"September"	"9"	116
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"October"	"10"	106
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"November"	"11"	123
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2022"	"2022"	"December"	"12"	126
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"January"	"1"	86
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"February"	"2"	82
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"March"	"3"	102
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"April"	"4"	99
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"May"	"5"	107
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"June"	"6"	101
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"July"	"7"	105
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"August"	"8"	103
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"September"	"9"	100
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"October"	"10"	102
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"November"	"11"	88
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2022"	"2022"	"December"	"12"	99
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"January"	"1"	115
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"February"	"2"	97
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"March"	"3"	108
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"April"	"4"	94
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"May"	"5"	107
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"June"	"6"	89
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"July"	"7"	125
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"August"	"8"	114
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"September"	"9"	107
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"October"	"10"	100
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"November"	"11"	94
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2022"	"2022"	"December"	"12"	108
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"January"	"1"	625
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"February"	"2"	596
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"March"	"3"	645
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"April"	"4"	612
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"May"	"5"	612
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"June"	"6"	617
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"July"	"7"	681
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"August"	"8"	750
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"September"	"9"	636
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"October"	"10"	638
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"November"	"11"	689
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2022"	"2022"	"December"	"12"	650
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"January"	"1"	156
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"February"	"2"	141
