"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Alabama"	"01"	"2023"	"2023"	"January"	"1"	4996
	"Alabama"	"01"	"2023"	"2023"	"February"	"2"	4406
	"Alabama"	"01"	"2023"	"2023"	"March"	"3"	4911
	"Alabama"	"01"	"2023"	"2023"	"April"	"4"	4377
	"Alabama"	"01"	"2023"	"2023"	"May"	"5"	4639
	"Alabama"	"01"	"2023"	"2023"	"June"	"6"	4824
	"Alabama"	"01"	"2023"	"2023"	"July"	"7"	4899
	"Alabama"	"01"	"2023"	"2023"	"August"	"8"	5159
	"Alabama"	"01"	"2023"	"2023"	"September"	"9"	4992
	"Alabama"	"01"	"2023"	"2023"	"October"	"10"	4956
	"Alabama"	"01"	"2023"	"2023"	"November"	"11"	4838
	"Alabama"	"01"	"2023"	"2023"	"December"	"12"	4826
	"Alabama"	"01"	"2024"	"2024"	"January"	"1"	4954
	"Alabama"	"01"	"2024"	"2024"	"February"	"2"	4474
	"Alaska"	"02"	"2023"	"2023"	"January"	"1"	759
	"Alaska"	"02"	"2023"	"2023"	"February"	"2"	682
	"Alaska"	"02"	"2023"	"2023"	"March"	"3"	758
	"Alaska"	"02"	"2023"	"2023"	"April"	"4"	712
	"Alaska"	"02"	"2023"	"2023"	"May"	"5"	767
	"Alaska"	"02"	"2023"	"2023"	"June"	"6"	776
	"Alaska"	"02"	"2023"	"2023"	"July"	"7"	771
	"Alaska"	"02"	"2023"	"2023"	"August"	"8"	738
	"Alaska"	"02"	"2023"	"2023"	"September"	"9"	776
	"Alaska"	"02"	"2023"	"2023"	"October"	"10"	753
	"Alaska"	"02"	"2023"	"2023"	"November"	"11"	770
	"Alaska"	"02"	"2023"	"2023"	"December"	"12"	748
	"Alaska"	"02"	"2024"	"2024"	"January"	"1"	754
	"Alaska"	"02"	"2024"	"2024"	"February"	"2"	643
	"Arizona"	"04"	"2023"	"2023"	"January"	"1"	6573
	"Arizona"	"04"	"2023"	"2023"	"February"	"2"	6038
